keyword,search_volume,keyword_difficulty,cpc,intent,funnel_stage,serp_features,content_format_needed,mapped_feature_ids,mapped_blog_slugs,cluster_id,content_type,priority,status,last_updated,source,notes
mejor transportín perro,0,0,0,commercial,decision,product_carousel,listicle,,mejor-transportin-perros-guia,tc_paseo_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. HUGE cluster: 'transportín perro' = 6600, 'transportín perro grande' = 2400, 'transportín para perros' = 1600, 'transportin perro mediano' = 1300, 'transportin coche perro' = 880. Article exists."
higiene dental perro,110,0,0,informational,consideration,people_also_ask,guide,,como-limpiar-dientes-perro;mejor-cepillo-dientes-perros,tc_higiene_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"110 vol exact. Real keywords: 'limpieza dental perros' = 880, 'pasta de dientes para perros' = 880, 'limpia dientes perros' = 720, 'precio limpieza dental perros' = 590, 'sarro en perros' = 480. Two articles cover this."
perro no quiere comer,1000,20,0.14,informational,awareness,featured_snippet,guide,,perro-no-quiere-comer-causas,tc_salud_comportamiento_perros,cluster,high,active,2026-04-07,keywordsurfer_es,"'mi perro no quiere comer' = 1000, 'mi perro no come pero está contento' = 590. Article exists."
gato vomita mucho,1900,0,0,informational,awareness,featured_snippet,guide,,gato-vomita-causas-soluciones,tc_salud_comportamiento_gatos,cluster,high,active,2026-04-07,keywordsurfer_es,"Extrapolated from 'mi perro vomita' cluster. Cat article exists. Verify cat-specific vol separately."
mejor pienso perro senior,0,0,0,commercial,decision,product_carousel,listicle,,mejor-pienso-perro-senior,tc_alimentacion_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. No 'senior' specific searches. People search broadly: 'mejor pienso para perros' = 1600, 'mejores piensos para perros ocu' = 880. Article may rank via long-tail."
comparativa productos mascotas,0,0,0,commercial,consideration,,,,,tc_alimentacion_perros,pillar,low,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. Related are all generic: 'comida perros' = 3600, 'accesorios para perros' = 720, 'cosas para perros' = 720. Too broad — deprioritize."
cuidados perro primavera,0,0,0,informational,awareness,people_also_ask,guide,,alergia-primaveral-perros-gatos-sintomas-tratamiento;procesionaria-pino-perros-peligros-primeros-auxilios,tc_salud_comportamiento_perros,cluster,medium,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. NO keyword ideas returned — dead keyword. Seasonal articles exist for allergies and procesionaria."
mejor pienso perro cachorro,880,0,0,commercial,decision,product_carousel,listicle,,mejor-pienso-cachorro-raza-grande,tc_alimentacion_perros,cluster,high,active,2026-04-07,keywordsurfer_es,"'pienso cachorros' = 880, 'mejor pienso para cachorro' = 390. Only large breed covered."
qué hacer si perro tiene pulgas,0,0,0,informational,awareness,featured_snippet,guide,,como-eliminar-pulgas-perro-casa;mejor-antiparasitario-perros-guia,tc_higiene_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'como quitar pulgas a perro' = 590 (multiple variants), 'remedio casero pulgas perros' = 390. Articles exist."
adiestramiento gato en casa,0,0,0,informational,awareness,video_carousel,guide,,como-adiestrar-gato-tecnicas;enriquecimiento-ambiental-gato-interior,tc_salud_comportamiento_gatos,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'gatitos como educarlos' = 1000, 'como educar un gato' = 1000, 'como educar gato' = 880, 'como educar a un gato' = 720, 'como enseñar gato usar arenero' = 320. Article exists."
mejor GPS perro,0,0,0,commercial,decision,product_carousel,listicle,,mejor-gps-perro;collar-gps-gato,tc_paseo_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. MASSIVE cluster: 'tractive' = 14800, 'gps para perros' = 5400, 'gps tractive' = 4400, 'gps para perro' = 4400, 'gps perros' = 2400, 'tractive gps perros' = 1000, 'gps perro sin suscripcion' = 390. Articles exist."
primeros auxilios perro,110,0,0,informational,awareness,featured_snippet,guide,,procesionaria-pino-perros-peligros-primeros-auxilios,tc_salud_comportamiento_perros,cluster,medium,planned,2026-04-08,keywordsurfer_es,"110 vol exact. Related: 'mi perro respira raro' = 260, 'frecuencia respiratoria perros' = 260, 'primeros auxilios perros' = 110. Low vol cluster overall. Only procesionaria covered."
salud gato guía completa,0,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_gatos,pillar,high,planned,2026-03-23,gap_analysis,No pillar page for cat health cluster
salud perro guía completa,0,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_perros,pillar,high,planned,2026-03-23,gap_analysis,No pillar page for dog health cluster
razas perro apartamento,0,0,0,informational,awareness,featured_snippet,listicle,,razas-perro-piso-pequeno,tc_salud_comportamiento_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'perros no sueltan pelo' = 2400, 'perros tranquilos' = 720, 'perros para pisos' = 590, 'mejor perro para piso' = 390, 'perros tranquilos para pisos' = 320. Article exists."
presupuesto mascota mensual,0,0,0,informational,awareness,people_also_ask,guide,,cuanto-cuesta-mantener-un-perro-al-mes;cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. NO keyword ideas returned — dead keyword. Articles exist for dog and cat cost breakdowns separately."
preparar casa cachorro,0,0,0,informational,awareness,people_also_ask,guide,,cachorro-primeras-semanas-casa;mejor-puerta-seguridad-perros,tc_hogar_mascotas,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Related: 'piensos ultima perros' = 880 (brand, not relevant). No real keyword ideas for this topic. Partially covered."
viajar con perro en coche,170,0,0,informational,awareness,featured_snippet,guide,,asiento-coche-perro;mejor-protector-maletero-perros;mejor-transportin-perros-guia,tc_paseo_perros,cluster,medium,planned,2026-04-08,keywordsurfer_es,"170 vol exact. Real keyword: 'cómo llevar al perro en el coche' = 1300, 'perros en coche' = 880, 'como llevar un perro en el coche' = 390, 'transporte perros coche dgt' = 260. NO UNIFIED GUIDE."
juguetes inteligencia perro,0,0,0,commercial,consideration,product_carousel,listicle,,mejor-juguete-mental-perros-guia;alfombras-olfato-perros,tc_juguetes_enriquecimiento,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'juguetes para perros' = 2400, 'juguetes perros' = 1600, 'juguete perro interactivo' = 880, 'mordedor perro' = 720, 'juguetes de perro' = 720, 'juegos inteligencia perros' = 260. Articles exist."
proteger casa gato,0,0,0,informational,awareness,people_also_ask,guide,,mejor-repelente-gatos-muebles;mejor-gatera-puerta-gato,tc_hogar_mascotas,cluster,medium,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. NO keyword ideas returned by Surfer — dead keyword. Products exist but no unified guide."
perro miedo ruidos fuertes,0,0,0,informational,awareness,featured_snippet,guide,,perro-miedo-petardos-fuegos-artificiales;mejor-difusor-feromonas-gatos,tc_salud_comportamiento_perros,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. NO keyword ideas returned by Surfer — dead keyword. Article exists for fireworks angle."
muda pelo gatos,90,0,0,informational,awareness,,how-to,,muda-pelo-gatos-guia-cuidados,tc_higiene_gatos,cluster,medium,published,2026-04-08,keywordsurfer_es,"90 vol exact. Related: 'gato con mucho pelo' = 880, 'que gatos no sueltan pelo' = 720. Article exists."
gato suelta mucho pelo,0,0,0,informational,awareness,,how-to,,muda-pelo-gatos-guia-cuidados,tc_higiene_gatos,cluster,medium,published,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'gatos que no dan alergia' = 1000, 'que gatos no sueltan pelo' = 720, 'gato antialergico' = 390. Article exists."
bolas pelo gato,0,0,0,informational,awareness,,how-to,,muda-pelo-gatos-guia-cuidados,tc_higiene_gatos,cluster,medium,published,2026-04-08,keywordsurfer_es,"Exact 0 vol. HUGE related: 'malta para gatos' = 1900, 'malta gatos' = 880, 'bola de pelo en gatos' = 720, 'bolas de pelo gato' = 590. Covered in shedding guide."
garrapatas en perros,6600,0,0,informational,awareness,featured_snippet,tutorial,,garrapatas-perros-prevenir-extraer,tc_higiene_perros,cluster,high,published,2026-04-09,keywordsurfer_es,"6600 vol confirmed. Related: 'como quitar garrapatas al perro' = 2900, 'enfermedad garrapatas en perros' = 390."
quitar garrapata perro,1300,0,0,informational,awareness,,tutorial,,garrapatas-perros-prevenir-extraer,tc_higiene_perros,cluster,high,published,2026-04-09,keywordsurfer_es,"1300 vol confirmed. Related: 'como quitar garrapatas a perro' = 2900, 'garrapata perro cabeza dentro' = 390, 'garrapata mal quitada' = 390."
prevenir garrapatas perro,0,0,0,informational,awareness,,tutorial,,garrapatas-perros-prevenir-extraer,tc_higiene_perros,cluster,medium,published,2026-04-09,keywordsurfer_es,"0 vol exact (not in KW ideas). Parent 'garrapatas en perros' = 6600 covers this intent."
enfermedades garrapatas perro,390,0,0,informational,awareness,,tutorial,,garrapatas-perros-prevenir-extraer,tc_higiene_perros,cluster,medium,published,2026-04-09,keywordsurfer_es,"'enfermedad garrapatas en perros' = 390, 'enfermedad de la garrapata perros' = 390, 'garrapatas perro enfermedad' = 390."
comedero automatico wifi gatos,1300,0,0.31,commercial,decision,product_carousel,listicle,,mejor-comedero-automatico-wifi-gatos,tc_alimentacion_gatos,cluster,medium,active,2026-04-07,keywordsurfer_es,"'comederos automaticos gatos' = 1300, 'comederos automáticos' = 1900. Article exists."
comedero inteligente gatos,1900,0,0,commercial,decision,,listicle,,mejor-comedero-automatico-wifi-gatos,tc_alimentacion_gatos,cluster,medium,active,2026-04-07,keywordsurfer_es,Parent keyword — comederos automáticos
dispensador comida gatos app,110,0,0,commercial,decision,,listicle,,mejor-comedero-automatico-wifi-gatos,tc_alimentacion_gatos,cluster,low,active,2026-04-07,keywordsurfer_es,Long-tail keyword
cuánto cuesta mantener un gato al mes,0,0,0,informational,awareness,featured_snippet,guide,,cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,high,active,2026-04-09,keywordsurfer_es,"0 vol exact confirmed. KW ideas off-intent: 'cuanto cuesta castrar gato' = 1900, 'cuanto cuesta esterilizar gato' = 1000, 'vacunacion gatos precio' = 1000, 'cuánto cuesta un gato' = 390. Long-tail intent still valid."
gastos mensuales gato España,0,0,0,informational,awareness,,guide,,cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas off-intent: 'pastillas desparasitar gatos' = 1300, 'cuanto cuesta un gato' = 320. No monthly-cost keywords exist."
cuánto se gasta al mes en mantener a un gato,0,0,0,informational,awareness,featured_snippet,guide,,cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas same off-intent pattern: buying/adoption, not monthly costs."
cuánto cuesta desparasitar a un gato,260,0,0,informational,awareness,,guide,,cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol exact but 260 as variant. Parent: 'desparasitar gatos' = 1600. Different intent (medical cost, not monthly budget) but covered in article FAQ."
cuáles son los gastos de tener un gato,0,0,0,informational,awareness,featured_snippet,guide,,cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas off-intent: chips/microchips gatos = 590, pastillas desparasitar = 590. No cost-of-ownership keywords."
presupuesto mensual gato,0,0,0,informational,awareness,,guide,,cuanto-cuesta-mantener-un-gato-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas: 'vacunas gatos precios' = 880 (off-intent). No budget/cost keywords exist in Spanish KW Surfer."
ansiedad por separación en perros,1600,0,0,informational,awareness,paa,how_to,,ansiedad-separacion-perros,,informativo,high,active,2026-04-09,keywordsurfer_es,"1600 vol confirmed. All variants same vol: 'ansiedad por separación perro' = 1600, 'perros con ansiedad por separación' = 1300, 'perro ansiedad por separación' = 1000."
ansiedad separación perros síntomas,0,0,0,informational,awareness,,how_to,,ansiedad-separacion-perros,,informativo,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas all point to parent: 'ansiedad por separación perro' = 1600 (multiple variants). 'trucos para ansiedad por separación' = 210."
ansiedad separación perros adoptados,0,0,0,informational,awareness,,how_to,,ansiedad-separacion-perros,,informativo,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all — dead keyword. Covered as angle in parent article."
ansiedad separación perros se cura,0,0,0,informational,awareness,paa,how_to,,ansiedad-separacion-perros,,informativo,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas point to parent at 1600. 'ansiedad por separación perros tratamiento' = 110. Useful as FAQ angle only."
regla 3-3-3 ansiedad canina,0,0,0,informational,awareness,paa,how_to,,ansiedad-separacion-perros,,informativo,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all — dead keyword. Niche PAA angle only."
cámaras para perros,390,0,0,commercial,consideration,"product_listings,paa,related_searches",comparativa,,mejor-camara-vigilar-mascotas,tc_hogar_mascotas,cluster,medium,mapped,2026-04-09,keywordsurfer_es,"RETARGETED from 'mejor cámara vigilar mascotas' (0 vol). 'cámaras para perros' = 390, 'cámara para perros' = 390, 'cámara para mascotas' = 260, 'cámara vigilancia mascotas' = 210. Much lower than SERP estimate of 1600."
comedero automatico perros wifi,0,0,0,commercial,decision,product_carousel,listicle,,mejor-comedero-automatico-perros-app,tc_alimentacion_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keyword: 'comedero automatico perro' = 720 (multiple variants). 'comedero automático para perros' = 260, 'comedero automático perros grandes' = 210."
comedero inteligente perros,0,0,0,commercial,decision,,listicle,,mejor-comedero-automatico-perros-app,tc_alimentacion_perros,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol exact confirmed. Not in KW ideas for 'comedero automático perros'. Dead secondary."
dispensador comida perros,390,0,0,commercial,decision,,listicle,,mejor-comedero-automatico-perros-app,tc_alimentacion_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"RETARGETED from 'dispensador comida perros app' (0 vol). 'dispensador comida perros' = 390, 'dispensador de comida para perros' = 390."
comedero automático perros,720,0,0,commercial,decision,product_carousel,listicle,,mejor-comedero-automatico-perros-app,tc_alimentacion_perros,cluster,high,active,2026-04-09,keywordsurfer_es,"RETARGETED from 'mejor comedero automatico perros' (0 vol). Multiple variants at 720: 'comedero automatico perro', 'comedero automatico perros', 'comedero automático perro'. 'dispensador comida perros' = 390."
comedero automático perros grandes,210,0,0,commercial,decision,,listicle,,mejor-comedero-automatico-perros-app,tc_alimentacion_perros,cluster,medium,active,2026-04-09,keywordsurfer_es,"210 vol confirmed from KW Surfer ideas for 'comedero automático perros'."
cuánto cuesta mantener un perro al mes,0,0,0,informational,awareness,featured_snippet,guide,,cuanto-cuesta-mantener-un-perro-al-mes,tc_hogar_mascotas,cluster,high,active,2026-04-09,keywordsurfer_es,"0 vol exact confirmed. KW ideas off-intent: 'cuanto cuesta un perro' = 320, 'cuánto vale un perro' = 260, 'cuanto cuesta un perro pequeño' = 90. Monthly cost intent valid but no exact-match volume."
gastos mensuales perro España,0,0,0,informational,awareness,,guide,,cuanto-cuesta-mantener-un-perro-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all — dead keyword."
presupuesto perro,0,0,0,informational,awareness,,guide,,cuanto-cuesta-mantener-un-perro-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all — dead keyword."
coste mantener perro,0,0,0,informational,awareness,,guide,,cuanto-cuesta-mantener-un-perro-al-mes,tc_hogar_mascotas,cluster,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas off-intent: 'cuanto cuesta un perro' = 320 (buying price). No maintenance-cost keywords exist."
collar antipulgas natural perro,0,0,0,commercial,decision,,comparison,,collar-antipulgas-natural-perro,tc_higiene_perros,cluster,low,human-review,2026-04-09,keywordsurfer_es,"0 vol confirmed (both 'natural' variants dead). Real market: 'collar antiparasitario perros' = 3600, 'seresto' = 9900, 'seresto perros' = 5400, 'collar antiparasitario' = 1900, 'mejor collar antiparasitario perro' = 590. Consider pivoting to 'mejor collar antiparasitario perros' (590) for rankable comparison."
collar antiparasitario natural perro,0,0,0,commercial,decision,,comparison,,collar-antipulgas-natural-perro,tc_higiene_perros,cluster,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas show 'collar antiparasitario perros' = 3600 but brand-dominated (Seresto = 9900). 'natural' niche has zero volume. Consider pivoting article to general collar comparison or accepting low-traffic natural niche."
antipulgas natural perro,0,0,0,commercial,awareness,,comparison,,collar-antipulgas-natural-perro,tc_higiene_perros,cluster,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas: 'pastilla perro pulgas' = 880, 'como quitar pulgas a perro' = 590, 'remedios caseros para pulgas' = 390, 'antipulgas perros' = 320. Natural angle has no volume."
enriquecimiento ambiental perros,90,0,0,informational,awareness,featured_snippet,guide,,guia-completa-juguetes-enriquecimiento-mascotas,tc_juguetes_enriquecimiento,pillar,high,mapped,2026-04-08,keywordsurfer_es,"90 vol exact. Related: 'enriquecimiento ambiental gatos' = 140, 'enriquecimiento ambiental' = 110. Very low vol cluster — pillar should target 'juguetes para perros' (2400) or 'jugar con gatitos' (4400) instead."
juguetes enriquecimiento mascotas,0,0,0,informational,awareness,,guide,,guia-completa-juguetes-enriquecimiento-mascotas,tc_juguetes_enriquecimiento,pillar,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all — dead keyword. Pillar should target 'juguetes para perros' (2400) instead."
estimulación mental mascotas,0,0,0,informational,awareness,,guide,,guia-completa-juguetes-enriquecimiento-mascotas,tc_juguetes_enriquecimiento,pillar,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas: 'juegos con perros' = 1000, 'juegos inteligencia perros' = 260, 'juegos mentales para perros' = 140. Best retarget for pillar: 'juegos con perros' = 1000."
ideas enriquecimiento DIY perros,0,0,0,informational,awareness,,guide,,guia-completa-juguetes-enriquecimiento-mascotas,tc_juguetes_enriquecimiento,pillar,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas off-topic: 'trucos para perro' = 320, 'juegos olfativos para perros' = 140. 'enriquecimiento' + 'DIY' not searched in ES."
preparar casa mascota,0,0,0,informational,awareness,people_also_ask,guide,,guia-completa-hogar-seguro-mascotas,tc_hogar_mascotas,pillar,high,mapped,2026-04-08,keywordsurfer_es,"Exact 0 vol. Related off-topic: 'mi perro mea mucho' = 170, 'mi perro se mea en casa' = 140. No relevant keyword ideas — dead keyword for pillar."
hogar seguro perros gatos,0,0,0,informational,awareness,,guide,,guia-completa-hogar-seguro-mascotas,tc_hogar_mascotas,pillar,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. KW ideas WRONG INTENT: 'seguro perro' = 5400, 'seguros perro' = 5400, 'seguro responsabilidad civil perro' = 3600 — all PET INSURANCE, not home safety. Google interprets 'seguro' as insurance. Dead for this pillar's intent."
preparar hogar mascota nueva,0,0,0,informational,awareness,,guide,,guia-completa-hogar-seguro-mascotas,tc_hogar_mascotas,pillar,low,mapped,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all — dead keyword. Entire hogar pillar has no viable keywords."
tecnología mascotas 2026,0,0,0,informational,awareness,paa,thought_leadership,,tecnologia-mascotas-2026,,standalone,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. NO keyword ideas at all. Dead keyword — article is standalone thought-leadership, not SEO-driven."
gadgets mascotas 2026,0,0,0,informational,awareness,,thought_leadership,,tecnologia-mascotas-2026,,standalone,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. Dead keyword — no KW ideas for parent either."
tendencias mascotas 2026,0,0,0,informational,awareness,paa,thought_leadership,,tecnologia-mascotas-2026,,standalone,low,active,2026-04-09,keywordsurfer_es,"0 vol confirmed. Dead keyword — no KW ideas for parent either."
mejor cama para gatos,4400,0,0,commercial,decision,product_carousel,listicle,,mejor-cama-gato-guia,tc_hogar_mascotas,cluster,high,active,2026-04-07,keywordsurfer_es,"'camas para gatos' = 4400, 'cama para gatos' = 4400, 'cueva gatos' = 390. Article exists."
diarrea en perros,3600,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_perros,cluster,high,planned,2026-04-07,keywordsurfer_es,"HIGHEST VOLUME GAP. 'probioticos para perros' = 3600, 'cortar diarrea en perros' = 880, 'heces con sangre en perros' = 590. NO ARTICLE EXISTS."
mi perro vomita,1900,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_perros,cluster,high,planned,2026-04-07,keywordsurfer_es,"'vomito amarillo perro' = 1900, 'perro con vomito' = 1600, 'mi perro vomita espuma blanca' = 880. Only cat article exists — NO DOG ARTICLE."
cómo cortar uñas perro,1600,0,0,informational,awareness,video_carousel,tutorial,,,tc_higiene_perros,cluster,high,planned,2026-04-07,keywordsurfer_es,"'cortar las uñas a un perro' = 1600, 'cortar uñas negras perro' = 260. Only product article (cortaúñas) exists — NO how-to guide."
golpe de calor en perros,1300,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_perros,cluster,high,planned,2026-04-07,keywordsurfer_es,"'golpe de calor en perros' = 1300, 'síntomas' = 260. SEASONAL — peaks in summer. NO ARTICLE EXISTS."
por qué mi gato me muerde,880,0,0,informational,awareness,people_also_ask,guide,,,tc_salud_comportamiento_gatos,cluster,high,planned,2026-04-07,keywordsurfer_es,"'porque mi gato me muerde' = 880, 'mi gato me muerde' = 480, 'porque mi gato me muerde fuerte' = 320. NO ARTICLE EXISTS."
mi gato bebe mucha agua,720,0,0,informational,awareness,featured_snippet,guide,,,tc_salud_comportamiento_gatos,cluster,medium,planned,2026-04-07,keywordsurfer_es,"Standalone keyword 720 vol. Could signal health issues (diabetes, kidney). NO ARTICLE EXISTS."
